ID,Team,Wins,Losses,Division
1,SF,14,5,NFC-West
2,ATL,4,12,NFC-South
3,JAC,4,12,AFC-South
4,CLE,4,12,AFC-North
5,PHI,10,7,NFC-East
6,DAL,8,8,NFC-East
7,NYJ,8,8,AFC-East
8,GB,9,9,NFC-North
9,IND,12,6,AFC-South
10,KC,11,6,AFC-West
11,SEA,16,3,NFC-West
12,MIA,8,8,AFC-East
13,CHI,8,8,NFC-North
14,MIN,5,10,NFC-North
15,TB,4,12,NFC-South
16,NE,13,5,AFC-East
17,DET,7,9,NFC-North
18,NO,12,6,NFC-South
19,ARI,10,6,NFC-West
20,NYG,7,9,NFC-East
21,SD,10,8,AFC-West
22,OAK,4,12,AFC-West
23,BAL,8,8,AFC-North
24,PIT,8,8,AFC-North
25,CAR,12,5,NFC-South
26,WAS,3,13,NFC-East
27,TEN,7,9,AFC-South
28,BUF,6,10,AFC-East
29,DEN,15,4,AFC-West
30,STL,7,9,NFC-West
31,CIN,11,6,AFC-North
32,HOU,2,14,AFC-South
